Timestamp,Reg1,Reg2,Reg3,Reg4,Reg5,Reg6,Reg7,Reg8,Reg9,Reg10,Reg11,Reg12
889772,342037603,332600275,304681513,214305990,4294901760,4294901760,1523253248,2952069120,4294944530,5639942,23243,45045
894886,342037603,332600275,304681513,214305990,4294901760,4294901760,1523253248,2952069120,4294944530,5639942,23243,45045
901111,342037603,332600275,304681513,214305990,4294901760,4294901760,1523253248,2952069120,4294944530,5639942,23243,45045
907414,342037603,332600275,304681513,214305990,4294901760,4294901760,1523253248,2952069120,4294944530,5639942,23243,45045
915630,342037603,332600275,304681513,214305990,4294901760,4294901760,1523253248,2952069120,4294944530,5639942,23243,45045
918212,342037209,332599993,304681303,201133053,4294901760,4294901760,920256512,2344419328,4293873323,5692333,14042,35773
924049,316216025,314118841,290918743,201133053,4294901760,3685548032,920256512,2344419328,4293873323,5692333,14042,35773
929820,316216025,314118841,290918743,201133053,4294901760,3685548032,920256512,2344419328,4293873323,5692333,14042,35773
935743,316216025,314118841,290918743,201133053,4294901760,3685548032,920256512,2344419328,4293873323,5692333,14042,35773
941532,316216025,314118841,290918743,201133053,4294901760,3685548032,920256512,2344419328,4293873323,5692333,14042,35773
947580,316216025,314118841,290918743,201133053,4294901760,3685548032,920256512,2344419328,4293873323,5692333,23774,45542
953250,319689486,317461228,291836261,201657349,4294901760,4294901760,1558052864,2984640512,4294945090,1052970,23774,45542
960607,319689486,317461228,291836261,201657349,4294901760,4294901760,1558052864,2984640512,4294945090,1052970,23774,45542
965235,319689486,317461228,291836261,201657349,4294901760,4294901760,1558052864,2984640512,4294945090,1052970,23774,45542
975504,319689486,317461228,291836261,201657349,4294901760,4294901760,1558052864,2984640512,4294945090,1052970,23774,45542
976608,319689486,317461228,291836261,201657349,4294901760,4294901760,1558052864,2984640512,4294945090,1052970,23774,45542
982633,319689796,317461414,291836408,212077732,4294901760,4294901760,1458372608,2888433664,4294941692,2885959,22253,44074
988325,340005956,329651110,301470200,212077732,4294901760,4294901760,1458372608,2888433664,4294941692,2885959,22253,44074
994245,340005956,329651110,301470200,212077732,4294901760,4294901760,1458372608,2888433664,4294941692,2885959,22253,44074
1000027,340005956,329651110,301470200,212077732,4294901760,4294901760,1458372608,2888433664,4294941692,2885959,22253,44074
1005851,340005956,329651110,301470200,212077732,4294901760,4294901760,1458372608,2888433664,4294941692,2885959,22253,44074
1011701,340005956,329651110,301470200,212077732,4294901760,4294901760,1458372608,2888433664,4294941692,2885959,23103,44908
1017502,326636408,321262374,296751536,205524032,4294901760,4294901760,1514078208,2943090688,4294944116,2887263,23103,44908
1023248,326636408,321262374,296751536,205524032,4294901760,4294901760,1514078208,2943090688,4294944116,2887263,23103,44908
1033632,326636408,321262374,296751536,205524032,4294901760,4294901760,1514078208,2943090688,4294944116,2887263,23103,44908
1034925,326636408,321262374,296751536,205524032,4294901760,4294901760,1514078208,2943090688,4294944116,2887263,23103,44908
1044829,326636408,321262374,296751536,205524032,4294901760,4294901760,1514078208,2943090688,4294944116,2887263,23103,44908
1046625,326636296,321262304,296751486,205523973,4294901760,4294901760,1514078208,2943090688,4294946021,2888404,23961,45732
1054522,319296264,316674784,293474686,201657349,4294901760,4294901760,1570308096,2997092352,4294946021,2888404,23961,45732
1058201,319296264,316674784,293474686,201657349,4294901760,4294901760,1570308096,2997092352,4294946021,2888404,23961,45732
1064618,319296264,316674784,293474686,201657349,4294901760,4294901760,1570308096,2997092352,4294946021,2888404,23961,45732
1069971,319296264,316674784,293474686,201657349,4294901760,4294901760,1570308096,2997092352,4294946021,2888404,23961,45732
1077485,319296264,316674784,293474686,201657349,4294901760,4294901760,1570308096,2997092352,4294946021,2888404,13599,35356
1083168,321458985,318247672,294588815,204475440,4294901760,3659268096,891224064,2317090816,4294921303,2939420,13599,35356
1088212,321458985,318247672,294588815,204475440,4294901760,3659268096,891224064,2317090816,4294921303,2939420,13599,35356
1097999,321458985,318247672,294588815,204475440,4294901760,3659268096,891224064,2317090816,4294921303,2939420,13599,35356
1101427,321458985,318247672,294588815,204475440,4294901760,3659268096,891224064,2317090816,4294921303,2939420,13599,35356
1105952,321458985,318247672,294588815,204475440,4294901760,3659268096,891224064,2317090816,4294921303,2939420,13599,35356
1111839,325063520,319689486,298455498,207359068,4294901760,4294901760,1534328832,2963144704,4294945032,3149897,23412,45214
1134040,325063520,319689486,298455498,207359068,4294901760,4294901760,1534328832,2963144704,4294945032,3149897,23412,45214
1134202,325063520,319689486,298455498,207359068,4294901760,4294901760,1534328832,2963144704,4294945032,3149897,23412,45214
1134270,325063520,319689486,298455498,207359068,4294901760,4294901760,1534328832,2963144704,4294945032,3149897,23412,45214
1137837,325063520,319689486,298455498,207359068,4294901760,4294901760,1534328832,2963144704,4294945032,3149897,23412,45214
1145225,325063520,319689486,298455544,207359104,4294901760,4294901760,1534328832,2963144704,4294947246,3151254,24380,46194
1149461,337974309,329192351,301470200,209718400,4294901760,4294901760,1597767680,3027369984,4294029742,3151254,24380,46194
1158818,337974309,329192351,301470200,209718400,4294901760,4294901760,1597767680,3027369984,4294029742,3151254,24380,46194
1189751,337974309,329192351,301470200,209718400,4294901760,4294901760,1597767680,3027369984,4294029742,3151254,24380,46194
1189915,337974309,329192351,301470200,209718400,4294901760,4294901760,1597767680,3027369984,4294029742,3151254,24380,46194
1189996,337974309,329192351,301470200,209718400,4294901760,4294901760,1597767680,3027369984,4294029742,3151254,24380,46194
1190069,318444283,316150488,292426094,201526275,4294901760,4294901760,1558970368,2988441600,4294028154,3150276,23788,45600
1190135,318444283,316150488,292426094,201526275,4294901760,4294901760,1558970368,2988441600,4294028154,3150276,23788,45600
1193038,318444283,316150488,292426094,201526275,4294901760,4294901760,1558970368,2988441600,4294028154,3150276,23788,45600
1200629,318444283,316150488,292426094,201526275,4294901760,4294901760,1558970368,2988441600,4294028154,3150276,23788,45600
1202992,318444283,316150488,292426094,201526275,4294901760,4294901760,1558970368,2988441600,4294028154,3150276,23788,45600
1208000,318444458,316150624,292426227,201526405,4294901760,4294901760,1558970368,2988441600,4294026676,3149252,23169,44988
1214521,329913258,325063520,301142515,210046085,4294901760,4294901760,1518403584,2948333568,4294944180,2231748,23169,44988
1217998,329913258,325063520,301142515,210046085,4294901760,4294901760,1518403584,2948333568,4294944180,2231748,23169,44988
1225251,329913258,325063520,301142515,210046085,4294901760,4294901760,1518403584,2948333568,4294944180,2231748,23169,44988
1231787,329913258,325063520,301142515,210046085,4294901760,4294901760,1518403584,2948333568,4294944180,2231748,23169,44988
1238629,329913258,325063520,301142515,210046085,4294901760,4294901760,1518403584,2948333568,4294944180,2231748,23169,44988
1243835,308089437,308351585,286658838,196021167,4294901760,3740860416,966197248,2405302272,4289746273,2285305,14743,36702
1250161,308089437,308351585,286658838,196021167,4294901760,3740860416,966197248,2405302272,4289746273,2285305,14743,36702
1253520,308089437,308351585,286658838,196021167,4294901760,3740860416,966197248,2405302272,4289746273,2285305,14743,36702
1264676,308089437,308351585,286658838,196021167,4294901760,3740860416,966197248,2405302272,4289746273,2285305,14743,36702
