Timestamp,Combined Value1,Combined Value2,Combined Value3,Combined Value4
1742724569645125,383356,0,411798,497
1742724569653693,383426,0,411863,467
1742724569662261,383333,0,411815,470
1742724569670829,383468,0,411994,474
1742724569679397,383428,0,412085,473
1742724569687965,383582,0,412305,477
1742724569696190,383480,0,412309,458
1742724569703318,383518,9,412516,491
1742724569710446,383602,0,412425,484
1742724569717574,383851,0,412687,466
1742724569724702,384069,0,412885,494
1742724569731830,384270,4,413275,490
1742724569738958,384579,0,413722,488
1742724569746282,385326,0,414589,458
1742724569754138,387117,33,416765,486
1742724569761994,388530,0,417957,476
1742724569769850,388393,0,417551,469
1742724569777706,388316,0,417379,488
1742724569785562,387212,0,416430,457
1742724569793418,386202,10,415231,484
1742724569801328,385390,0,414008,472
1742724569809324,384803,0,413464,504
1742724569817320,384848,0,414088,438
1742724569825316,386681,0,415918,450
1742724569833312,388675,0,417953,436
1742724569841308,390440,0,419871,470
1742724569849304,391602,0,421018,513
1742724569857383,391746,6,421164,493
1742724569865667,390814,0,420501,499
1742724569873951,389780,0,419704,480
1742724569882235,389079,0,419388,473
1742724569890519,388496,0,419158,489
1742724569898803,388486,0,419204,475
1742724569907087,388764,0,419399,483
1742724569915136,389021,0,419246,500
1742724569922420,389378,0,419536,504
1742724569929704,389611,0,419911,500
1742724569936988,389708,0,420139,504
1742724569944272,390244,0,420605,480
1742724569951556,390654,0,420903,497
1742724569958840,390834,0,420939,499
1742724569966328,390290,0,420612,486
1742724569974324,390244,0,420139,524
1742724569982320,388836,0,418825,490
1742724569990316,388105,0,418177,466
1742724569998312,387784,0,418148,474
1742724570006308,387313,0,417374,476
1742724570014304,386992,0,416840,489
1742724570022353,386755,0,416389,479
1742724570030493,387180,0,416695,494
1742724570038633,387268,0,416793,497
1742724570046773,387835,0,417407,489
1742724570054913,388143,0,417735,468
1742724570063053,387772,0,417613,461
1742724570071193,387469,0,417452,473
1742724570080412,387840,0,417351,461
1742724570092840,388153,0,417236,491
1742724570105268,387791,0,417264,483
