Timestamp,CH1_SLOTA,CH2_SLOTA,CH3_SLOTA,CH4_SLOTA,CH1_SLOTB,CH2_SLOTB,CH3_SLOTB,CH4_SLOTB
8612221,216727552,30212096,3258,1184,1448607744,1610678272,5460,39175
8619824,210567168,28049408,3197,1114,1449328640,1610481664,5479,39199
8628934,210567168,28049408,3197,1114,1449328640,1610481664,5479,39199
8632624,210567168,28049408,3197,1114,1449328640,1610481664,5479,39199
8642465,210567168,28049408,3197,1114,1449328640,1610481664,5479,39199
8646102,210567168,28049408,3197,1114,1449328640,1610481664,5479,39199
8653615,213778432,28442624,3277,1175,1451491328,1611857920,5485,39188
8661478,213778432,28442624,3277,1175,1451491328,1611857920,5485,39188
8667677,213778432,28442624,3277,1175,1451491328,1611857920,5485,39188
8681552,213778432,28442624,3277,1175,1451491328,1611857920,5485,39188
8681743,213778432,28442624,3277,1175,1451491328,1611857920,5485,39188
8686995,214761472,29097984,3255,1169,1454309376,1614741504,5562,39280
8693775,214761472,29097984,3255,1169,1454309376,1614741504,5562,39280
8700527,214761472,29097984,3255,1169,1454309376,1614741504,5562,39280
8708732,214761472,29097984,3255,1169,1454309376,1614741504,5562,39280
8714858,213712896,29425664,3255,1169,1451950080,1611333632,5483,39243
8721712,213712896,29425664,3252,1142,1451950080,1611333632,5483,39243
8729658,213712896,29425664,3252,1142,1451950080,1611333632,5483,39243
8734462,213712896,29425664,3252,1142,1451950080,1611333632,5483,39243
8744670,213712896,29425664,3252,1142,1451950080,1611333632,5483,39243
8748975,208797696,25362432,3175,1091,1451425792,1613037568,5519,39239
8756838,208797696,25362432,3175,1091,1451425792,1613037568,5519,39239
8763848,208797696,25362432,3175,1091,1451425792,1613037568,5519,39239
8768771,208797696,25362432,3175,1091,1451425792,1613037568,5519,39239
8781606,208797696,25362432,3175,1091,1451425792,1613037568,5519,39239
8785036,212140032,31653888,3223,1131,1451556864,1611923456,5476,39181
8789174,212140032,31653888,3223,1131,1451556864,1611923456,5476,39181
8797400,212140032,31653888,3223,1131,1451556864,1611923456,5476,39181
8802531,212140032,31653888,3223,1131,1451556864,1611923456,5476,39181
8809596,212140032,31653888,3223,1131,1451556864,1611923456,5476,39181
8816233,209256448,24969216,3174,1124,1451098112,1611726848,5509,39240
8823303,209256448,24969216,3174,1124,1451098112,1611726848,5509,39240
8832182,209256448,24969216,3174,1124,1451098112,1611726848,5509,39240
8837401,209256448,24969216,3174,1124,1451098112,1611726848,5509,39240
8843963,215482368,30015488,3279,1183,1447886848,1610285056,5464,39216
8850907,215482368,30015488,3279,1183,1447886848,1610285056,5464,39216
8857543,215482368,30015488,3279,1183,1447886848,1610285056,5464,39216
8865512,215482368,30015488,3279,1183,1447886848,1610285056,5464,39216
8871510,215482368,30015488,3279,1183,1447886848,1610285056,5464,39216
8884409,212729856,28704768,3249,1153,1448673280,1610481664,5456,39165
8884494,212729856,28704768,3249,1153,1448673280,1610481664,5456,39165
8891802,212729856,28704768,3249,1153,1448673280,1610481664,5456,39165
8899590,212729856,28704768,3249,1153,1448673280,1610481664,5456,39165
8907093,212729856,28704768,3249,1153,1448673280,1610481664,5456,39165
8912266,218300416,32768000,3323,1219,1450115072,1610743808,5463,39160
8919031,218300416,32768000,3323,1219,1450115072,1610743808,5463,39160
8925052,218300416,32768000,3323,1219,1450115072,1610743808,5463,39160
8936034,218300416,32768000,3323,1219,1450115072,1610743808,5463,39160
8939766,218300416,32768000,3323,1219,1450115072,1610743808,5463,39160
8946303,208732160,25690112,3165,1115,1449263104,1610022912,5445,39176
8951870,208732160,25690112,3165,1115,1449263104,1610022912,5445,39176
8959313,208732160,25690112,3165,1115,1449263104,1610022912,5445,39176
8966000,208732160,25690112,3165,1115,1449263104,1610022912,5445,39176
8972733,211288064,27787264,3206,1116,1448607744,1610809344,5482,39216
8987559,211288064,27787264,3206,1116,1448607744,1610809344,5482,39216
8987782,211288064,27787264,3206,1116,1448607744,1610809344,5482,39216
8993118,211288064,27787264,3206,1116,1448607744,1610809344,5482,39216
9003583,211288064,27787264,3206,1116,1448607744,1610809344,5482,39216
9006444,219217920,33226752,3363,1219,1453326336,1612644352,5492,39236
9013426,219217920,33226752,3363,1219,1453326336,1612644352,5492,39236
9020191,219217920,33226752,3363,1219,1453326336,1612644352,5492,39236
9026725,219217920,33226752,3363,1219,1453326336,1612644352,5492,39236
9038087,219217920,33226752,3363,1219,1453326336,1612644352,5492,39236
9040320,217776128,32964608,3321,1215,1449590784,1611137024,5454,39146
9047939,217776128,32964608,3321,1215,1449590784,1611137024,5454,39146
9053884,217776128,32964608,3321,1215,1449590784,1611137024,5454,39146
9061338,217776128,32964608,3321,1215,1449590784,1611137024,5454,39146
9068214,217776128,32964608,3321,1215,1447624704,1610022912,5454,39146
9074375,210763776,26017792,3192,1116,1447624704,1610022912,5420,39119
9089065,210763776,26017792,3192,1116,1447624704,1610022912,5420,39119
9089184,210763776,26017792,3192,1116,1447624704,1610022912,5420,39119
9096340,210763776,26017792,3192,1116,1447624704,1610022912,5420,39119
9103649,214171648,28049408,3245,1147,1453457408,1614675968,5499,39202
9108829,214171648,28049408,3245,1147,1453457408,1614675968,5499,39202
9115777,214171648,28049408,3245,1147,1453457408,1614675968,5499,39202
9122453,214171648,28049408,3245,1147,1453457408,1614675968,5499,39202
9129249,214171648,28049408,3245,1147,1453457408,1614675968,5499,39202
9142889,213188608,26869760,3255,1146,1451491328,1611137024,5433,39181
9143015,213188608,26869760,3255,1146,1451491328,1611137024,5433,39181
9149506,213188608,26869760,3255,1146,1451491328,1611137024,5433,39181
9156175,213188608,26869760,3255,1146,1451491328,1611137024,5433,39181
9163234,213188608,26869760,3255,1146,1451491328,1611137024,5433,39181
9169798,206372864,23330816,3139,1072,1446641664,1609564160,5414,39115
9176636,206372864,23330816,3139,1072,1446641664,1609564160,5414,39115
9191936,206372864,23330816,3139,1072,1446641664,1609564160,5414,39115
9192123,206372864,23330816,3139,1072,1446641664,1609564160,5414,39115
9197651,214237184,30801920,3268,1175,1447821312,1609105408,5376,39091
9206097,214237184,30801920,3268,1175,1447821312,1609105408,5376,39091
9222701,214237184,30801920,3268,1175,1447821312,1609105408,5376,39091
9222817,214237184,30801920,3268,1175,1447821312,1609105408,5376,39091
9226531,214237184,30801920,3268,1175,1447821312,1609105408,5376,39091
9232390,216465408,32309248,3263,1206,1455554560,1614479360,5500,39201
9243761,216465408,32309248,3263,1206,1455554560,1614479360,5500,39201
9244916,216465408,32309248,3263,1206,1455554560,1614479360,5500,39201
9251861,216465408,32309248,3263,1206,1455554560,1614479360,5500,39201
9259250,216465408,32309248,3263,1206,1455554560,1614479360,5500,39201
9266156,211943424,27918336,3214,1131,1450442752,1609826304,5427,39172
9281065,211943424,27918336,3214,1131,1450442752,1609826304,5427,39172
9281206,211943424,27918336,3214,1131,1450442752,1609826304,5427,39172
9289246,211943424,27918336,3214,1131,1450442752,1609826304,5427,39172
9293138,211943424,27918336,3214,1131,1450442752,1609826304,5427,39172
9299265,216203264,30801920,3284,1199,1448083456,1608515584,5388,39132
9307710,216203264,30801920,3284,1199,1448083456,1608515584,5388,39132
9312649,216203264,30801920,3284,1199,1448083456,1608515584,5388,39132
9319555,216203264,30801920,3284,1199,1448083456,1608515584,5388,39132
9329967,214302720,28377088,3235,1156,1445658624,1608712192,5394,39116
9333107,214302720,28377088,3235,1156,1445658624,1608712192,5394,39116
9344767,214302720,28377088,3235,1156,1445658624,1608712192,5394,39116
9347212,214302720,28377088,3235,1156,1445658624,1608712192,5394,39116
9353970,214302720,28377088,3235,1156,1445658624,1608712192,5394,39116
9359926,214302720,28835840,3256,1168,1451819008,1613037568,5466,39149
9366966,214302720,28835840,3256,1168,1451819008,1613037568,5466,39149
9387734,214302720,28835840,3256,1168,1451819008,1613037568,5466,39149
9387870,214302720,28835840,3256,1168,1451819008,1613037568,5466,39149
9392840,214302720,28835840,3256,1168,1451819008,1613037568,5466,39149
9393917,212992000,27066368,3201,1125,1447821312,1610481664,5394,39107
9402322,212992000,27066368,3201,1125,1447821312,1610481664,5394,39107
9410088,212992000,27066368,3201,1125,1447821312,1610481664,5394,39107
9414494,212992000,27066368,3201,1125,1447821312,1610481664,5394,39107
9421385,212992000,27066368,3201,1125,1447821312,1610481664,5394,39107
9428784,210894848,26804224,3230,1127,1452998656,1615003648,5489,39204
9435501,210894848,26804224,3230,1127,1452998656,1615003648,5489,39204
9444712,210894848,26804224,3230,1127,1452998656,1615003648,5489,39204
9448954,210894848,26804224,3230,1127,1452998656,1615003648,5489,39204
9454837,210567168,28049408,3214,1145,1451425792,1612578816,5461,39177
9463314,210567168,28049408,3214,1145,1451425792,1612578816,5461,39177
9468582,210567168,28049408,3214,1145,1451425792,1612578816,5461,39177
9475106,210567168,28049408,3214,1145,1451425792,1612578816,5461,39177
9483684,210567168,28049408,3214,1145,1451425792,1612578816,5461,39177
9496554,214237184,29949952,3270,1179,1449459712,1610678272,5413,39111
9496673,214237184,29949952,3270,1179,1449459712,1610678272,5413,39111
9502422,214237184,29949952,3270,1179,1449459712,1610678272,5413,39111
9514571,214237184,29949952,3270,1179,1449459712,1610678272,5413,39111
9515696,214237184,29949952,3270,1179,1449459712,1610678272,5413,39111
9522527,212860928,30081024,3242,1154,1444085760,1607663616,5316,39058
9529143,212860928,30081024,3242,1154,1444085760,1607663616,5316,39058
9536276,212860928,30081024,3242,1154,1444085760,1607663616,5316,39058
9550360,212860928,30081024,3242,1154,1444085760,1607663616,5316,39058
9550494,212860928,30081024,3242,1154,1444085760,1607663616,5316,39058
9556255,211681280,27394048,3231,1143,1451294720,1610940416,5424,39135
9564127,211681280,27394048,3231,1143,1451294720,1610940416,5424,39135
9570590,211681280,27394048,3231,1143,1451294720,1610940416,5424,39135
9577432,211681280,27394048,3231,1143,1451294720,1610940416,5424,39135
9585792,215482368,30932992,3268,1178,1449852928,1611268096,5457,39177
9599705,215482368,30932992,3268,1178,1449852928,1611268096,5457,39177
